Rank,GLSTOCK Weight,GLBOND Weight,GOLDPM Weight,COMM Weight,Final Value,CAGR,Annual Return,Std Dev,TWRR,Sharpe,Sortino,Calmar,Max Drawdown,Ulcer Index,Average Drawdown,Longest Drawdown Days,Daily Win Rate,Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,VaR 95 Daily,CVaR 95 Daily,Skew,Excess Kurtosis,Portfolio,Existing Script Syntax
1,0.7,0.0,0.3,0.0,27796331.938356455,0.1045593107473115,0.1100568460850703,0.13172450332740784,0.1045593107473115,0.7937726702785443,1.13902927548596,0.2573883385093456,-0.40623173276949,8.833382073016473,-0.055969556162408805,1395,0.5405521384637391,0.07632061301815063,-0.12554486755288086,0.14593376692392224,-0.19533167059848155,0.46556293470809096,-0.2594422194521653,-0.012075186645034045,-0.018963763142766828,-0.37712190278707813,11.88704120420957,"GLSTOCK: 70%, GLBOND: 0%, GOLDPM: 30%, COMM: 0%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.7,0,0.3,0]"
2,0.75,0.0,0.25,0.0,27794886.804923125,0.10455583407615965,0.11042440885796656,0.13446752813726984,0.10455583407615965,0.7775545183624173,1.1120327030333659,0.2443591157026329,-0.4278777723332262,9.266928720386495,-0.05825326610203528,1677,0.5416249463596052,0.08093082327423184,-0.1362888613877704,0.15073973097809312,-0.19827702606980369,0.40906975110406196,-0.2814906611379163,-0.012462903137063996,-0.01933212913189715,-0.4511888344507723,13.46364806610124,"GLSTOCK: 75%, GLBOND: 0%, GOLDPM: 25%, COMM: 0%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.75,0,0.25,0]"
3,0.7,0.0,0.25,0.05,27612033.910087246,0.10442990980153688,0.10961851183827634,0.12925766134642008,0.10442990980153688,0.8079204645491536,1.1549207015358707,0.24669410413463755,-0.42331741233889586,8.781719605895619,-0.054959265715694774,1379,0.5421971105707338,0.07714685430826718,-0.12750414333751692,0.14005943572006618,-0.20080974367528437,0.41561463234972984,-0.27780363323122936,-0.011880003618385104,-0.018626339453676026,-0.46094637123699084,13.058975677626773,"GLSTOCK: 70%, GLBOND: 0%, GOLDPM: 25%, COMM: 5%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.7,0,0.25,0.05]"
4,0.65,0.0,0.35,0.0,27489352.968816314,0.1043448489481773,0.10965791999494531,0.13022828487330645,0.1043448489481773,0.8012456667895915,1.153995822071334,0.2676454333536061,-0.38986224289625615,8.545195024577286,-0.054977156666122635,1366,0.5399084537262194,0.0760371925019403,-0.11471983517394801,0.1484660273941687,-0.19246843711627393,0.52205611831212,-0.23739377776641402,-0.011885972121613969,-0.018770367702366727,-0.29345739874306376,10.560033764938368,"GLSTOCK: 65%, GLBOND: 0%, GOLDPM: 35%, COMM: 0%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.65,0,0.35,0]"
5,0.8,0.0,0.2,0.0,27474223.981653288,0.10432671527562731,0.110761453417586,0.13843971541763084,0.10432671527562731,0.7535894953330776,1.074461187323827,0.22742739309218335,-0.4587253710169402,9.79581027976707,-0.06119097354811368,1689,0.5409097410956945,0.09036760580665648,-0.14695272329327813,0.15594291201206434,-0.20130808801406885,0.38892195151590125,-0.3035391028236676,-0.012778384845537522,-0.019914595795427512,-0.5117221481902255,15.106800149043057,"GLSTOCK: 80%, GLBOND: 0%, GOLDPM: 20%, COMM: 0%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.8,0,0.2,0]"
6,0.75,0.0,0.2,0.05,27469651.93956069,0.10432647160845132,0.10999751276862159,0.1328330001534619,0.10432647160845132,0.785395733649944,1.1191098071541625,0.23274134592515547,-0.44825070162651903,9.195455986134535,-0.05704230497301531,1653,0.540480617937348,0.08629196325845734,-0.13818818899017093,0.1446165882002015,-0.20382616681811339,0.36716002268556114,-0.2998520749169806,-0.012149868472909752,-0.019124510118861383,-0.5283570373099324,14.793657330624175,"GLSTOCK: 75%, GLBOND: 0%, GOLDPM: 20%, COMM: 5%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.75,0,0.2,0.05]"
7,0.65,0.0,0.3,0.05,27442753.465798724,0.1043122588314167,0.10920975935140174,0.12695501924691624,0.1043122588314167,0.8216473791283401,1.1787701719338626,0.25655842737796225,-0.4065828587175728,8.443240968116173,-0.05347039446544532,1366,0.5422686310971249,0.07298732217874537,-0.11673990918395039,0.13587215698125155,-0.19787722143872266,0.47210781595375884,-0.255755191545478,-0.011549070095848584,-0.018324209939146772,-0.3803907882338671,11.44558413135785,"GLSTOCK: 65%, GLBOND: 0%, GOLDPM: 30%, COMM: 5%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.65,0,0.3,0.05]"
8,0.7,0.0,0.2,0.1,27242163.86654335,0.10416707184557206,0.1091959364375902,0.12783421617104548,0.10416707184557206,0.8148606450263193,1.1603982851569532,0.23201305146318302,-0.44897074189855135,8.854783717846008,-0.054797211457456994,1376,0.542411672149907,0.08236936483836654,-0.12944423902967317,0.1342237455617139,-0.206261119486169,0.3656663299913687,-0.29616504701029334,-0.011586834824532755,-0.018450278329594394,-0.5400320959042173,14.308750257443592,"GLSTOCK: 70%, GLBOND: 0%, GOLDPM: 20%, COMM: 10%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.7,0,0.2,0.1]"
9,0.65,0.0,0.25,0.1,27212780.055318255,0.10414845777772785,0.10877555518427398,0.1246836555225291,0.10414845777772785,0.8353016066240476,1.1936017530039782,0.24519995227929225,-0.42474909480854517,8.485888048811516,-0.05309208887388212,1366,0.5416964668859963,0.07350099779554231,-0.11874013407813855,0.130227219199484,-0.20326001188357645,0.4221595135953977,-0.2741166053245422,-0.01143850783593877,-0.018023940253695088,-0.4662860723315685,12.502717206409562,"GLSTOCK: 65%, GLBOND: 0%, GOLDPM: 25%, COMM: 10%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.65,0,0.25,0.1]"
10,0.8,0.0,0.15,0.05,27008939.14399742,0.10399371451187345,0.1103478532705392,0.13764430801345237,0.10399371451187345,0.7555249905554383,1.073564036870672,0.21780711294555882,-0.47745784380268064,9.75190990877861,-0.06022971350103154,1683,0.5399084537262194,0.09599034719021815,-0.14879293886686018,0.14954904792688128,-0.20693014379261676,0.37991660260459303,-0.32190051660273156,-0.012595062717139565,-0.01983073736055344,-0.5796813329252448,16.447920618693587,"GLSTOCK: 80%, GLBOND: 0%, GOLDPM: 15%, COMM: 5%","tickers, weights = ['GLSTOCK','GLBOND','GOLDPM','COMM'],[0.8,0,0.15,0.05]"
